TERM,COURSE,ENRL,MEDIAN
17W,HIST-024-01,34,B+
17W,HIST-046-01,27,B+
17W,HIST-05.02-01,21,A-
17W,HIST-05.04-01,32,A-
17W,HIST-07.05-01,15,A-
17W,HIST-07.07-01,10,B+
17W,HIST-071-01,26,A-
17W,HIST-076-01,14,B+
17W,HIST-38.01-01,36,B+
17W,HIST-43.01-01,13,A-
17W,HIST-78.02-01,20,A-
17W,HIST-92.01-01,33,A-
17W,HIST-94.05-01,29,B+
17W,HIST-96.03-01,12,A-
17W,HIST-96.08-01,22,A-
17W,HIST-96.31-01,12,A-
17W,HUM-002-02,13,A-
17W,HUM-002-03,16,A-
17W,HUM-002-04,16,A-
17W,INTS-015-01,23,A-
17W,INTS-016-01,39,B+
17W,INTS-018-01,43,A-
17W,ITAL-001-02,10,A-
17W,ITAL-008-90,11,A
17W,ITAL-010-90,11,A
17W,ITAL-012-90,11,A-
17W,JAPN-002-01,14,A
17W,JAPN-002-02,10,A
17W,JWST-004-01,17,B+
17W,JWST-24.01-01,16,A-
17W,LACS-004-01,16,A
17W,LACS-042-01,39,B+
17W,LACS-059-01,33,A-
17W,LACS-50.09-01,25,A-
17W,LACS-80.02-01,14,A-
17W,LAT-001-01,11,A
17W,LAT-001-02,22,A/A-
17W,LAT-003-01,19,A
17W,LAT-003-02,15,A-
17W,LAT-003-03,10,B+/B
17W,LAT-020-01,13,A
17W,LATS-044-01,16,A
17W,LATS-07.01-01,16,A-/B+
17W,LING-001-01,35,B+
17W,LING-023-01,15,B+
17W,LING-026-01,19,B+
17W,MATH-003-01,119,B
17W,MATH-003-02,119,B
17W,MATH-003-03,119,B
17W,MATH-003-04,119,B
17W,MATH-008-01,60,B
17W,MATH-008-02,60,B
17W,MATH-013-01,75,B+
17W,MATH-013-02,75,B+
17W,MATH-013-03,75,B+
17W,MATH-017-01,18,A-/B+
17W,MATH-023-01,46,A-
17W,MATH-023-02,46,A-
17W,MATH-024-01,13,A-
17W,MATH-028-01,29,A
17W,MATH-035-01,27,A
17W,MATH-040-01,24,A-
17W,MATH-063-01,11,B+
17W,MATH-076-01,15,A
17W,MUS-001-01,18,A
17W,MUS-004-01,36,A-
17W,MUS-025-01,10,A-
17W,MUS-03.01-01,26,A-
17W,MUS-051-01,33,A
17W,MUS-07.05-01,16,A
17W,MUS-45.04-01,14,A/A-
17W,MUS-45.06-01,28,A-
17W,NAS-055-01,36,B+
17W,NAS-81.03-01,22,A-
17W,PBPL-005-01,101,B+
17W,PBPL-81.09-01,18,A-
17W,PHIL-006-01,16,A
17W,PHIL-008-01,27,A
17W,PHIL-01.04-01,32,A/A-
17W,PHIL-035-01,20,B+
17W,PHIL-07.01-01,16,A-
17W,PHIL-09.02-01,32,A
17W,PHIL-13.01-01,16,A-
17W,PHYS-004-01,83,A-
17W,PHYS-013-01,92,B+
17W,PHYS-013-02,92,B+
17W,PHYS-014-01,49,B
17W,PHYS-016-01,18,A
17W,PHYS-041-01,18,C+
17W,PHYS-048-01,27,B
17W,PSYC-001-01,110,B+
17W,PSYC-006-01,55,A-
17W,PSYC-010-01,43,A-
17W,PSYC-023-01,111,B+
17W,PSYC-027-01,29,A
17W,PSYC-043-01,38,A-
17W,PSYC-044-01,36,A
17W,PSYC-045-01,33,A-
17W,PSYC-060-01,12,A/A-
17W,PSYC-07.03-01,16,A-
17W,PSYC-51.09-01,29,A
17W,PSYC-54.02-01,21,A
17W,PSYC-54.06-01,16,A
17W,PSYC-81.04-01,10,A
17W,PSYC-83.03-01,14,A-
17W,QSS-30.07-01,24,A
17W,QSS-30.08-01,12,A
17W,REL-004-01,17,B+
17W,REL-009-01,57,A-
17W,REL-01.01-01,58,A-
17W,REL-015-01,45,B+
17W,REL-038-01,32,A/A-
17W,REL-042-01,19,A-
17W,REL-07.07-01,16,A
17W,REL-19.21-01,17,A
17W,REL-28.04-01,17,A-
17W,REL-41.02-01,30,A
17W,RUSS-002-01,12,A/A-
17W,RUSS-031-01,27,A
17W,RUSS-07.01-01,16,A-
17W,RUSS-38.08-01,11,A-
17W,SART-015-01,14,A
17W,SART-015-02,11,A
17W,SART-015-03,10,A-
17W,SART-016-01,12,A-
17W,SART-016-02,12,A-
17W,SART-022-01,10,A
17W,SART-025-01,16,A-
17W,SART-029-01,12,A/A-
17W,SART-076-01,10,A-/B+
17W,SART-076-02,10,A
17W,SART-17.14-01,13,A
17W,SOCY-002-01,49,B+
17W,SOCY-010-01,29,B+
17W,SOCY-011-01,17,B+
17W,SOCY-015-01,18,B+
17W,SOCY-045-01,35,A-
17W,SOCY-058-01,25,A-
17W,SOCY-07.01-01,16,A/A-
17W,SOCY-091-01,13,B+
17W,SOCY-36.01-01,26,A-
17W,SOCY-49.22-01,37,A
17W,SPAN-001-01,49,A-
17W,SPAN-001-02,49,A-
17W,SPAN-001-03,49,A-
17W,SPAN-002-01,80,A-
17W,SPAN-002-02,80,A-
17W,SPAN-002-03,80,A-
17W,SPAN-002-04,80,A-
17W,SPAN-002-05,80,A-
17W,SPAN-002-06,80,A-
17W,SPAN-003-01,82,A-
17W,SPAN-003-02,82,A-
17W,SPAN-003-03,82,A-
17W,SPAN-003-04,82,A-
17W,SPAN-003-05,82,A-
17W,SPAN-003-90,17,A-
17W,SPAN-003-91,21,A-
17W,SPAN-005-90,17,A
17W,SPAN-005-91,21,A-
17W,SPAN-006-90,17,A-
17W,SPAN-006-91,21,A-
17W,SPAN-009-01,33,A
17W,SPAN-009-02,33,A
17W,SPAN-020-01,30,A-
17W,SPAN-020-02,30,A-
17W,SPAN-031-01,19,A-
17W,SPAN-031-02,19,A-
17W,SPAN-07.02-01,16,A
17W,SPAN-80.11-01,10,A/A-
17W,SPEE-026-01,18,A
17W,SPEE-20.03-01,14,A
17W,SPEE-20.03-02,13,A
17W,THEA-016-01,21,A
17W,THEA-030-01,12,A-
17W,THEA-030-02,14,A
17W,THEA-036-01,14,A
17W,THEA-040-01,17,A
17W,THEA-044-01,11,A
17W,THEA-07.01-01,16,A-
17W,THEA-07.01-02,16,A
17W,TUCK-001-01,135,A-
17W,TUCK-001-02,135,A-
17W,WGSS-010-01,21,A-
17W,WGSS-015-01,23,A
17W,WGSS-07.11-01,15,A-
17W,WGSS-33.08-01,26,A-
17W,WGSS-37.03-01,37,A
17W,WGSS-43.04-01,19,A-
17W,WGSS-43.06-01,17,A-
17W,WGSS-47.03-01,15,B+
17W,WGSS-56.01-01,30,B+
17W,WRIT-003-01,13,A-
17W,WRIT-003-02,13,A-
17W,WRIT-003-03,14,A-
17W,WRIT-003-04,14,A-/B+
17W,WRIT-003-05,15,A
17W,WRIT-003-06,13,A-
17W,WRIT-003-07,13,A-
17W,WRIT-003-08,15,A-
17W,WRIT-005-01,16,A
17W,WRIT-005-02,16,A
17W,WRIT-005-03,16,A
17W,WRIT-005-04,16,A
17W,WRIT-005-05,16,A
17W,WRIT-005-06,16,A
17W,WRIT-005-07,16,A
17W,WRIT-005-08,14,A-
17W,WRIT-005-09,11,B+
17W,WRIT-005-10,16,A-
17W,WRIT-005-11,16,A/A-
17W,WRIT-005-12,16,A
17W,WRIT-005-13,16,B+
17W,WRIT-005-14,16,A-/B+
17W,WRIT-005-15,16,A-
17W,WRIT-005-16,16,A-
17W,WRIT-005-17,14,A-/B+
17W,WRIT-005-18,16,A-
17W,WRIT-005-19,15,A-
17W,WRIT-005-20,16,A-
17W,WRIT-005-21,15,A
17W,WRIT-005-22,16,A-
17W,WRIT-005-23,16,A-
17W,WRIT-005-24,15,A
17W,WRIT-005-25,16,A-
17W,WRIT-005-26,16,A-
17W,WRIT-005-27,16,A
17W,WRIT-005-28,16,A
17W,WRIT-005-29,16,A-
17W,WRIT-005-30,16,A-
