TERM,COURSE,ENRL,MEDIAN
16F,HUM -001-02,15,A-
16F,HUM -001-03,16,A-
16F,HUM -001-04,16,A /A-
16F,HUM -001-05,15,A
16F,INTS-016-01,29,B+
16F,INTS-018-01,34,A-
16F,INTS-80.01-01,12,A-
16F,ITAL-001-01,10,A /A-
16F,ITAL-001-02,10,A-
16F,ITAL-003-01,14,A-
16F,JAPN-001-01,13,A
16F,JAPN-001-02,19,A
16F,JAPN-62.01-01,18,A
16F,JWST-006-01,62,B+
16F,JWST-24.02-01,13,A
16F,JWST-36.01-01,11,A
16F,JWST-37.01-01,11,A-
16F,JWST-40.01-01,27,B+
16F,LACS-001-01,21,B+
16F,LACS-020-01,27,A
16F,LACS-50.11-01,25,A-
16F,LAT -001-01,17,A-
16F,LAT -001-02,15,A
16F,LAT -001-03,15,B+
16F,LAT -015-01,19,A-
16F,LING-001-01,51,B
16F,LING-018-01,34,A-
16F,LING-022-01,14,B
16F,LING-11.03-01,16,A-
16F,MATH-001-01,70,B+/B
16F,MATH-001-02,70,B+/B
16F,MATH-001-03,70,B+/B
16F,MATH-001-04,70,B+/B
16F,MATH-003-01,204,B-
16F,MATH-003-02,204,B-
16F,MATH-003-03,204,B-
16F,MATH-003-04,204,B-
16F,MATH-003-05,204,B-
16F,MATH-008-01,103,B
16F,MATH-008-02,103,B
16F,MATH-008-03,103,B
16F,MATH-011-01,175,B+
16F,MATH-011-02,175,B+
16F,MATH-011-03,175,B+
16F,MATH-011-04,175,B+
16F,MATH-013-01,47,B
16F,MATH-020-01,25,B+
16F,MATH-022-01,73,B+
16F,MATH-022-02,73,B+
16F,MATH-023-01,41,B+
16F,MATH-023-02,41,B+
16F,MATH-025-01,17,B+
16F,MATH-036-01,11,B+
16F,MATH-071-01,14,A-/B+
16F,MATH-086-01,13,B+
16F,MATH-31.01-01,22,B+/B
16F,MUS -002-01,42,A
16F,MUS -004-01,37,A-
16F,MUS -020-01,24,A-
16F,MUS -025-01,15,A-
16F,MUS -051-01,24,A
16F,MUS -16.02-01,12,A
16F,MUS -17.03-01,11,A
16F,MUS -18.01-01,12,A
16F,MUS -45.05-01,14,A /A-
16F,MUS -57.03-01,11,A
16F,NAS -008-01,50,A-
16F,NAS -011-01,52,B+
16F,NAS -018-01,23,A
16F,NAS -025-01,17,A
16F,NAS -036-01,48,A-
16F,NAS -042-01,20,A
16F,NAS -048-01,25,B+
16F,PBPL-028-01,30,B+
16F,PBPL-042-01,37,B+
16F,PBPL-045-01,28,A-
16F,PBPL-085-01,12,A
16F,PHIL-003-01,28,B+
16F,PHIL-01.05-01,24,B+
16F,PHIL-01.07-01,20,A-/B+
16F,PHIL-011-01,22,A-
16F,PHIL-09.06-01,32,A-
16F,PHIL-09.07-01,21,B+
16F,PHIL-50.15-90,11,B+
16F,PHYS-003-01,91,A-
16F,PHYS-013-01,75,B+
16F,PHYS-013-02,75,B+
16F,PHYS-015-01,24,A-
16F,PHYS-019-01,12,A-/B+
16F,PHYS-043-01,26,A-
16F,PHYS-050-01,22,A-
16F,PSYC-001-01,165,B+
16F,PSYC-006-01,77,B+
16F,PSYC-010-01,56,A-
16F,PSYC-011-01,33,B+
16F,PSYC-021-01,39,B
16F,PSYC-024-01,66,B+/B
16F,PSYC-040-01,33,B+
16F,PSYC-045-01,18,B+
16F,PSYC-060-01,13,A
16F,PSYC-065-01,20,A /A-
16F,PSYC-50.01-01,27,A-
16F,PSYC-51.02-01,11,A-
16F,PSYC-51.03-01,15,A
16F,PSYC-52.01-01,22,A /A-
16F,PSYC-54.05-01,34,A
16F,PSYC-86.04-01,15,A
16F,QSS -017-01,53,B+
16F,QSS -017-02,53,B+
16F,QSS -036-01,11,B+
16F,QSS -30.05-01,22,A
16F,REL -006-01,62,B+
16F,REL -010-01,57,B
16F,REL -033-01,11,A
16F,REL -039-01,35,A-
16F,REL -056-01,15,A-
16F,REL -065-01,59,A-
16F,REL -28.03-01,15,A-
16F,RUSS-013-01,69,A
16F,SART-015-01,16,A /A-
16F,SART-015-02,14,A /A-
16F,SART-015-03,15,A
16F,SART-015-04,15,B+
16F,SART-016-01,10,A-
